"filename", "language", "C++", "C", "JSON with Comments", "Python", "Java", "Shell Script", "comment", "blank", "total"
"/Users/ralphcao/Git/USACO/teach/aborn/teach6_15.cpp", "C++", 23, 0, 0, 0, 0, 0, 61, 16, 100
"/Users/ralphcao/Git/USACO/teach/aborn/test.cpp", "C++", 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/ralphcao/Git/USACO/teach/akbar.cpp", "C++", 74, 0, 0, 0, 0, 0, 3, 13, 90
"/Users/ralphcao/Git/USACO/teach/alphabetic_removals.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 6, 35
"/Users/ralphcao/Git/USACO/teach/baleshare.cpp", "C++", 37, 0, 0, 0, 0, 0, 2, 7, 46
"/Users/ralphcao/Git/USACO/teach/bfs.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/ralphcao/Git/USACO/teach/crazy.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/ralphcao/Git/USACO/teach/eko.cpp", "C++", 32, 0, 0, 0, 0, 0, 4, 9, 45
"/Users/ralphcao/Git/USACO/teach/hillwalk.cpp", "C++", 63, 0, 0, 0, 0, 0, 8, 15, 86
"/Users/ralphcao/Git/USACO/teach/koze.cpp", "C++", 49, 0, 0, 0, 0, 0, 1, 8, 58
"/Users/ralphcao/Git/USACO/teach/lightson.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 13, 66
"/Users/ralphcao/Git/USACO/teach/makeitgood.cpp", "C++", 27, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/ralphcao/Git/USACO/teach/map.cpp", "C++", 28, 0, 0, 0, 0, 0, 25, 7, 60
"/Users/ralphcao/Git/USACO/teach/measurements.cpp", "C++", 58, 0, 0, 0, 0, 0, 5, 22, 85
"/Users/ralphcao/Git/USACO/teach/moop.cpp", "C++", 33, 0, 0, 0, 0, 0, 5, 8, 46
"/Users/ralphcao/Git/USACO/teach/nakanj.cpp", "C++", 49, 0, 0, 0, 0, 0, 4, 11, 64
"/Users/ralphcao/Git/USACO/teach/rental.cpp", "C++", 51, 0, 0, 0, 0, 0, 8, 10, 69
"/Users/ralphcao/Git/USACO/teach/reposts.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 9, 38
"/Users/ralphcao/Git/USACO/teach/revegetate.cpp", "C++", 42, 0, 0, 0, 0, 0, 48, 10, 100
"/Users/ralphcao/Git/USACO/teach/slick.cpp", "C++", 66, 0, 0, 0, 0, 0, 1, 4, 71
"/Users/ralphcao/Git/USACO/teach/snowboots.cpp", "C++", 33, 0, 0, 0, 0, 0, 5, 7, 45
"/Users/ralphcao/Git/USACO/teach/socdist.cpp", "C++", 49, 0, 0, 0, 0, 0, 1, 7, 57
"/Users/ralphcao/Git/USACO/teach/swap.cpp", "C++", 56, 0, 0, 0, 0, 0, 21, 13, 90
"/Users/ralphcao/Git/USACO/teach/sweepline.cpp", "C++", 28, 0, 0, 0, 0, 0, 1, 7, 36
"/Users/ralphcao/Git/USACO/teach/test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/ralphcao/Git/USACO/teach/wanderingqueen.cpp", "C++", 93, 0, 0, 0, 0, 0, 8, 7, 108
"/Users/ralphcao/Git/USACO/teach/weirdsort.cpp", "C++", 44, 0, 0, 0, 0, 0, 1, 7, 52
"/Users/ralphcao/Git/USACO/teach/young_explorers.cpp", "C++", 25, 0, 0, 0, 0, 0, 14, 9, 48
"Total", "-", 45362, 13, 15, 72, 353, 18, 4236, 7092, 57161
